gtag_736346ab-81e8-41ae-83d8-b453344ab67e,팝
gtag_29c3dd50-89d8-4594-865a-7c25a6b3234a,힙합
gtag_f2121f27-090d-41b6-90c5-69fd67b419fd,알앤비/소울
gtag_2c55c879-24e0-4a3f-bbc6-fd044f10d2ab,케이팝
gtag_15b150ed-6531-46bf-a15e-e4be6df7e212,발라드
gtag_0b01c876-386a-4805-b471-ccaa03817c65,트로트
gtag_7fa7e2d0-572f-4aa5-a1da-7ff707c42278,수록곡
gtag_1d7972dc-a1bc-4dbb-9e76-2e2b486b557f,댄스
gtag_66d097cd-253e-4bfe-a2e9-86b6733c15fc,일렉트로닉
gtag_2e9e36f4-939c-4071-8112-42e0360bcad7,락/메탈
gtag_4be93fc6-2219-4b06-bc17-55cbd3280160,재즈
gtag_74836085-a395-48c0-9846-7314c0020548,제이팝
gtag_2ec3ef1b-e212-40d1-85b5-b66dd0970465,인디
gtag_24c2deaf-0a51-4baf-906f-d3329fd49eee,클래식
gtag_2c07eb81-f053-478a-bc7c-bac27175551e,펑크
