plyy_uuid,plyy_title,plyy_img,plyy_get_date,plyy_update_date,plyy_cmt,c_uuid,gtag_uuid
plyy_ab9cf7fc-0319-4098-a9ca-6b0caee858d0,🪹유실되었다가 다시 찾은 플레이리스트🪺,plyy_ab9cf7fc-0319-4098-a9ca-6b0caee858d0.jpg,,,"내가 좋아하는 일본 노래들~~~~ 가사는 안 들리는데 멜로디는 좋아서 설렁설렁 공부할때 듣기 좋은 노래 모음",c_a1d1e40b-5867-47eb-aac6-fbc1a2acbdc4,gtag_74836085-a395-48c0-9846-7314c0020548
plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,Bronze,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd.jpg,,,"최근 핫한 곡",c_2866e59a-fcc3-4ca8-a1ec-681feb9a0c26,gtag_2c55c879-24e0-4a3f-bbc6-fd044f10d2ab
plyy_2a8cc702-67ee-4377-8310-cd9689b98c19,Chill,plyy_2a8cc702-67ee-4377-8310-cd9689b98c19.jpg,,,"가볍게 바이브 타기 좋은 곡",c_0401890c-3fe2-4142-a74e-e81fee61a7aa,gtag_29c3dd50-89d8-4594-865a-7c25a6b3234a
plyy_5559576d-87f5-44d5-8ec8-6907a2276472,Last Summer Swing Vol. 3 / LL YOON J MIX #12,plyy_5559576d-87f5-44d5-8ec8-6907a2276472.jpg,,,"안녕하세요 LL YOON J 입니다. 90년대가 지난 이후, 2010년대 넘어서도 뉴잭스윙을 시도하는 그룹이나 아티스트는 많았지만, 한 시대를 풍미한 이 장르는 근 10년간 한국 음악씬에서 생각만큼 주목을 받지 못했습니다. 최고의 인기를 달리고 있는 New jeans 의 Supernatural 발매로 인해 드디어 뉴잭스윙이 메인스트림으로 올라오고 주목받아 정말 기뻤습니다. 기념으로 Murakami Takashi 의 오마주 아트웍과 함께, 매년 여름마다 드리는 믹스셋을 업로드 합니다. 오래 기다리셨습니다. 즐겁게 들어 주시고 시원한 여름 되세요! ☀️😎",c_d3addab0-396a-445e-955f-b2c01ca1d28e,gtag_f2121f27-090d-41b6-90c5-69fd67b419fd
